      Gx      Gy      Gz     Rot. sign
   -8169   -5679   31219          -1
  -12371   -7155   29486          -1
  -15752   -7440   27752          -1
  -18653   -6982   26018          -1
  -21171   -5974   24284          -1
  -23335   -4534   22551          -1
  -25154   -2748   20817          -1
  -26627    -684   19083          -1
  -27750    1594   17350          -1
  -28522    4034   15616          -1
  -28941    6581   13882          -1
  -29011    9188   12149          -1
  -28736   11806   10415          -1
  -28127   14392    8681          -1
  -27197   16902    6947          -1
  -25963   19297    5214          -1
  -24445   21539    3480          -1
  -22669   23594    1746          -1
  -20662   25431      13          -1
  -18454   27021   -1720          -1
  -16079   28340   -3454          -1
  -13574   29368   -5188          -1
  -10977   30087   -6921          -1
   -8330   30485   -8655          -1
   -5674   30553  -10389          -1
   -3054   30288  -12122          -1
    -516   29688  -13856          -1
    1892   28758  -15590          -1
    4123   27505  -17323          -1
    6126   25941  -19057          -1
    7847   24079  -20791          -1
    9226   21935  -22525          -1
   10196   19525  -24258          -1
   10671   16857  -25992          -1
   10532   13928  -27726          -1
    9572   10684  -29459          -1
    7291    6889  -31193          -1
    -504   -3619  -32562          -1
    -613  -11085  -30828           1
     419  -15065  -29095           1
    1996  -17917  -27361           1
    3937  -20034  -25627           1
    6135  -21566  -23894           1
    8509  -22587  -22160           1
   10991  -23143  -20426           1
   13523  -23267  -18692           1
   16052  -22986  -16959           1
   18529  -22327  -15225           1
   20911  -21315  -13491           1
   23157  -19979  -11758           1
   25230  -18347  -10024           1
   27097  -16451   -8290           1
   28731  -14325   -6556           1
   30105  -12003   -4823           1
   31199   -9524   -3089           1
   31997   -6926   -1355           1
   32488   -4249     377           1
   32662   -1535    2111           1
   32519    1175    3845           1
   32059    3841    5578           1
   31288    6419    7312           1
   30218    8869    9046           1
   28864   11148   10780           1
   27246   13218   12513           1
   25387   15039   14247           1
   23315   16572   15981           1
   21064   17779   17714           1
   18670   18623   19448           1
   16172   19063   21182           1
   13616   19055   22915           1
   11049   18546   24649           1
    8525   17461   26383           1
    6101   15680   28117           1
    3838   12956   29850           1
    1774    8540   31584           1
    2988   -4660   32295          -1
    5530  -10442   30562          -1
    6121  -14321   28828          -1
    5811  -17486   27094          -1
    4886  -20164   25361          -1
    3496  -22432   23627          -1
    1741  -24316   21893          -1
    -299  -25829   20160          -1
   -2562  -26973   18426          -1
   -4987  -27751   16692          -1
   -7521  -28166   14958          -1
  -10112  -28222   13225          -1
  -12712  -27928   11491          -1
  -15277  -27295    9757          -1
  -17764  -26338    8024          -1
  -20132  -25075    6290          -1
  -22345  -23528    4556          -1
  -24368  -21723    2822          -1
  -26170  -19687    1089          -1
  -27724  -17453    -644          -1
  -29006  -15054   -2378          -1
  -29996  -12528   -4111          -1
  -30679   -9913   -5845          -1
  -31043   -7249   -7579          -1
  -31080   -4579   -9312          -1
  -30787   -1948  -11046          -1
  -30165     600  -12780          -1
  -29221    3021  -14514          -1
  -27963    5265  -16247          -1
  -26405    7286  -17981          -1
  -24564    9032  -19715          -1
  -22459   10449  -21448          -1
  -20112   11477  -23182          -1
  -17543   12045  -24916          -1
  -14766   12058  -26649          -1
  -11777   11372  -28383          -1
   -8509    9706  -30117          -1
   -4573    6185  -31851          -1
    7624   -1484  -31833          -1
   12872   -1411  -30099           1
   16397    -428  -28365           1
   19058    1087  -26631           1
   21092    2974  -24898           1
   22599    5130  -23164           1
   23633    7474  -21430           1
   24225    9942  -19697           1
   24400   12473  -17963           1
   24182   15015  -16229           1
   23591   17520  -14496           1
   22651   19942  -12762           1
   21386   22241  -11028           1
   19822   24378   -9294           1
   17991   26321   -7561           1
   15922   28038   -5827           1
   13651   29505   -4093           1
   11213   30697   -2360           1
    8647   31599    -626           1
    5992   32195    1107           1
    3288   32477    2840           1
     577   32440    4574           1
   -2098   32085    6308           1
   -4697   31415    8042           1
   -7176   30440    9775           1
   -9494   29172   11509           1
  -11609   27631   13243           1
  -13480   25838   14976           1
  -15066   23820   16710           1
  -16327   21607   18444           1
  -17220   19234   20178           1
  -17701   16739   21911           1
  -17718   14164   23645           1
  -17207   11553   25379           1
  -16075    8952   27112           1
  -14159    6408   28846           1
  -11088    3946   30580           1
   -5249    1389   32313           1
    7677    3706   31638          -1
   12503    4801   29904          -1
   16067    4681   28171          -1
   18970    3853   26437          -1
   21378    2519   24703          -1
   23354     798   22969          -1
   24924   -1220   21236          -1
   26101   -3466   19502          -1
   26896   -5877   17768          -1
   27313   -8397   16035          -1
   27363  -10972   14301          -1
   27054  -13555   12567          -1
   26402  -16100   10834          -1
   25422  -18562    9100          -1
   24133  -20904    7366          -1
   22560  -23086    5632          -1
   20728  -25076    3899          -1
   18667  -26842    2165          -1
   16408  -28359     431          -1
   13988  -29602   -1301          -1
   11441  -30553   -3035          -1
    8809  -31198   -4769          -1
    6131  -31524   -6503          -1
    3449  -31526   -8236          -1
     807  -31202   -9970          -1
   -1750  -30555  -11704          -1
   -4180  -29590  -13437          -1
   -6436  -28320  -15171          -1
   -8471  -26760  -16905          -1
  -10237  -24928  -18638          -1
  -11686  -22848  -20372          -1
  -12763  -20544  -22106          -1
  -13406  -18043  -23840          -1
  -13540  -15372  -25573          -1
  -13057  -12549  -27307          -1
  -11776   -9570  -29041          -1
   -9289   -6346  -30774          -1
   -3571   -2027  -32508          -1
    2512    9996  -31103          -1
    2360   14335  -29369           1
    1407   17548  -27636           1
     -61   20068  -25902           1
   -1904   22043  -24168           1
   -4023   23540  -22435           1
   -6342   24594  -20701           1
   -8797   25229  -18967           1
  -11328   25462  -17233           1
  -13884   25311  -15500           1
  -16415   24792  -13766           1
  -18877   23927  -12032           1
  -21227   22737  -10299           1
  -23427   21247   -8565           1
  -25443   19483   -6831           1
  -27243   17477   -5098           1
  -28799   15261   -3364           1
  -30089   12870   -1630           1
  -31092   10340     103           1
  -31793    7711    1836           1
  -32182    5023    3570           1
  -32251    2317    5304           1
  -32000    -363    7037           1
  -31430   -2978    8771           1
  -30549   -5483   10505           1
  -29368   -7834   12238           1
  -27903   -9990   13972           1
  -26176  -11907   15706           1
  -24209  -13542   17440           1
  -22032  -14852   19173           1
  -19677  -15790   20907           1
  -17179  -16307   22641           1
  -14575  -16342   24374           1
  -11906  -15819   26108           1
   -9207  -14618   27842           1
   -6500  -12517   29576           1
   -3726   -8915   31309           1
    -742    1696   32714          -1
   -3450   10097   30980          -1
   -3600   14328   29247          -1
   -2889   17559   27513          -1
   -1615   20160   25779          -1
      69   22258   24046          -1
    2067   23907   22312          -1
    4297   25134   20578          -1
    6695   25955   18845          -1
    9202   26385   17111          -1
   11763   26435   15377          -1
   14329   26118   13643          -1
   16854   25451   11910          -1
   19293   24451   10176          -1
   21607   23141    8442          -1
   23759   21544    6709          -1
   25715   19688    4975          -1
